track_id,majority_genre,minority_genre
TRAAAED128E0783FAB,Jazz,
TRAAAJN128F428E437,Pop,Rock
TRAAAUR128F428B1FA,Rock,Punk
TRAABFH128F92C812E,Rock,
TRAABIG128F9356C56,Rock,Pop
TRAABIX128F92D6F94,Electronic,
TRAABJS128F9325C99,Rock,
TRAABVM128F92CA9DC,Rock,
TRAACIE128F428495B,Rock,
TRAACPH12903CF5F14,Rock,
TRAADCQ128F932EC14,Pop,
TRAADKW128E079503A,Folk,Pop
TRAADLN128F14832E9,Rock,
TRAADQL128F427D281,Rock,
TRAADQW128F427CE68,Rock,Electronic
TRAADQX128F422B4CF,Electronic,Rock
TRAADVH128EF34DE7A,Rock,Punk
TRAADVO128E07999E9,Jazz,
TRAADYB128F92D7E73,Jazz,
TRAAEEH128E0795DFE,Pop,Rock
TRAAFGQ128F427D884,Rock,
TRAAFJW128F428A424,Punk,
TRAAFML128F1451AF1,Rock,
TRAAFOY128F146CC17,Rock,Folk
TRAAFQF128F92F8770,Rock,Metal
TRAAFTE128F429545F,Rock,Pop
TRAAFYL128E07856A7,Rock,
TRAAGAM128F428DCBE,Punk,
TRAAGCZ128F93210FD,Pop,Rap
TRAAGMC128F4292D0F,Country,
TRAAGNS128E07824BD,Rock,
TRAAGPJ128F428CD1B,Rock,
TRAAGQD128F92D2359,Electronic,Jazz
TRAAGXU12903C9BE30,Rap,Rock
TRAAHBS128F429F76A,Rock,Reggae
TRAAHDK128F423BB26,Rock,
TRAAHMD12903D034F4,Rap,
TRAAHSY128F147BB5C,Rock,
TRAAHYK128F932A08F,Rap,Pop
TRAAIDR128F145A5C2,Pop,Rock
TRAAIKA128F426D3BB,Rock,
TRAAIMC128F42625C6,Rock,Punk
TRAAIUW128F4290B94,Rap,RnB
TRAAJJW128F4298683,Folk,
TRAAJJW12903CBDDCB,Reggae,
TRAAJYX128F4255568,Reggae,
TRAAKAS128F4246013,Rock,
TRAAKBQ12903CACE08,Rock,
TRAAKDF128F92FA302,Rock,
TRAAKDG128F42A0ECB,Pop,
TRAAKLQ12903CB0D25,Electronic,
TRAAKMD128F1497E6C,Rock,
TRAALAH128E078234A,Pop,Rock
TRAALDI128EF35F6DD,Rock,
TRAALOF128F427FE6B,Rock,Metal
TRAALYN128F1452482,Rock,
TRAAMBM128F933DBBF,Rock,
TRAAMCQ128F4259A2F,Rock,
TRAAMES128F42AF068,Rock,
TRAAMLN128F92F9634,Rock,
TRAAMXN128F148AD52,Country,
TRAANIX128F92DF5E3,RnB,
TRAANJZ128E078264F,Rock,Reggae
TRAANOM128F425E4AF,Electronic,
TRAANRJ128F931D72D,Metal,
TRAANSZ128F425DD63,Rock,
TRAAOGH128F92CA518,Pop,
TRAAOGR128F425E7BF,Rock,
TRAAOIH128F92F0679,Rock,
TRAAPFE12903CF5DF4,Metal,
TRAAPKN128F429CE4D,Rock,Folk
TRAAPPQ12903D0129F,Pop,
TRAAPSN128F422B2F7,Rock,
TRAAQCK128F92E8C33,Pop,
TRAAQIH128F428BDEA,Rap,
TRAAQOU128F92D5955,Metal,
TRAARXB128F92FA0BF,Metal,
TRAARZE128F93264E9,Electronic,
TRAARZK12903D14A2D,Electronic,
TRAASAU12903CF6274,Rock,Pop
TRAASFP128F42980BD,Pop,Electronic
TRAASLO128F92DFAC5,Rock,Rap
TRAASQC128F93480F0,Punk,Rock
TRAATCK128F92D7592,World,
TRAATFW128F14957A8,Rock,Folk
TRAATIR128F92FC91C,Rock,
TRAATPA128F146753C,Rock,
TRAAUEO128E0780CB9,Rock,
TRAAUKQ128F429B7A5,Electronic,
TRAAVDV128F931F2A3,RnB,
TRAAVJL128F14ACADD,Blues,Electronic
TRAAVPC12903CF7C01,Rock,Folk
TRAAVRU128F423EAE2,Rock,
TRAAWAY128F92C38BF,Latin,Pop
TRAAWBT128E079213D,Rap,RnB
TRAAWPB128F932A8DE,Rock,
TRAAWPM128F1468260,Rock,
TRAAWUM128F427D81D,Rock,
TRAAWVV12903CE827E,Rock,
TRAAXAV128E0788BB9,Jazz,
TRAAXIY128F42295DE,Jazz,
TRAAXMX128F9307699,Electronic,Pop
TRAAXOW128F931C2DC,Jazz,
TRAAXPX128F42AA93D,Pop,
TRAAXUY12903CBE3D1,Rap,
TRAAXVE128F1458ABA,Rock,Pop
TRAAXVV128F426FAA7,RnB,Rap
TRAAXYY128EF33FF2C,Electronic,
TRAAYBP128E0792605,Rock,
TRAAYVI128F4286706,Folk,
TRAAZVF128F145BFED,Rock,
TRABAKX128F92C1D3D,Rock,Pop
TRABAQN12903CF6776,Electronic,Rap
TRABBGS128F934EE17,Rock,
TRABBHI128F426260D,Rock,Punk
TRABBZM128F426782A,Rock,
TRABCFL128F149BB0D,RnB,Jazz
TRABCLD128F92EE158,Rap,
TRABCQH128F931525A,Rap,
TRABCUQ128E0783E2B,Pop,
TRABDAA12903CF45CB,Metal,
TRABDEP128F428B3E3,Rock,
TRABDMG128F421EB17,Rock,
TRABDPR128F9326104,Rock,
TRABEKH128F930F44A,RnB,Pop
TRABEKP128E078C123,Rock,Folk
TRABEOS128F148FF21,Rock,
TRABFAE12903CABAC9,Electronic,Pop
TRABFDT12903CADD73,Rap,
TRABFEL128F931FD79,Rock,Metal
TRABGCD128F42884EB,Pop,
TRABGIN128F14B0238,Electronic,Pop
TRABGSH128F932D04D,Jazz,
TRABGUY128F426654F,Rock,
TRABGZL128F428A25B,Punk,Blues
TRABHAT128F1464F13,Pop,Electronic
TRABHMZ128F4273B6E,Rock,
TRABHTY12903CCE195,Rock,Blues
TRABHUS12903CBBF2F,Rock,
TRABHXO128F145CEF3,RnB,Jazz
TRABHYO128F9307B76,Rock,
TRABIMC12903CED87D,Jazz,
TRABISN12903D0A0E0,Metal,
TRABJRD128F427D63D,Pop,Rock
TRABJSS12903CA735D,Electronic,Rock
TRABJWA128F9309C09,Rock,
TRABKAR12903CF6A60,Rock,
TRABKBS128F42823EC,Rock,
TRABKEH12903CE5BE9,Jazz,
TRABKGX128F92C2AB8,Reggae,
TRABKJU128F422A7FE,Metal,
TRABKOG128F427C466,Rock,Folk
TRABKUJ128F4292445,Pop,Latin
TRABLHU128F1473B67,RnB,
TRABLKI128F4293C9B,Rock,
TRABLLC128F427F42F,Metal,
TRABLMN128E0792687,Rock,
TRABLPG128F428C2DF,Electronic,
TRABLTI12903D081EA,Rock,
TRABLUU128F1463532,RnB,
TRABLXT128F4266428,Electronic,
TRABMBG128F429E9F1,Rock,Pop
TRABMDN128F4222B61,Latin,
TRABMEE128F42607BB,Rock,
TRABMTL128F92C3A05,Rock,
TRABNDS128F93236DD,Rock,
TRABNPV128F427EF53,Folk,Rock
TRABNRG128F425E087,Punk,Rock
TRABNRN12903D10428,Rock,
TRABNUR128F14B1008,Rock,Metal
TRABNUW128F9313D21,Rock,
TRABOOL128F426E836,World,Folk
TRABOVH128F427D3B4,Electronic,
TRABOXI128F931D377,World,New Age
TRABOYF128F14659F5,Electronic,
TRABPGW128E078F38D,World,
TRABPPN128F428A23F,Punk,Reggae
TRABPUI12903CF22CE,Metal,Rock
TRABPUY12903CE380F,Rock,
TRABQJG128F4267518,Pop,Latin
TRABQJT128F145F172,Rap,Latin
TRABQTA128F148D048,Rock,
TRABQUM12903C9A618,Rock,
TRABQUU128F932674B,Pop,
TRABQZK128F92F54F4,Pop,Latin
TRABRHT12903CF274F,Metal,Punk
TRABRMJ128E0780E42,Pop,Rock
TRABRRK128F14554B0,Pop,World
TRABRVO128F9346FCE,Rock,Metal
TRABSHY128F9352333,Rock,
TRABSXW128F4233422,Rock,Metal
TRABTBA128F92FE16B,Pop,Rock
TRABTDP128F424D00B,New Age,Electronic
TRABTQB128F42269BD,Electronic,
TRABTZG12903CF1339,Reggae,Punk
TRABUIN128F93022FF,Electronic,
TRABUMO12903CBE25F,Rock,Metal
TRABUSZ128F4257BAB,Reggae,
TRABUVN128F930633C,Latin,
TRABUXL128F42630D2,Electronic,Pop
TRABVCF128F9342596,Rock,
TRABVIU128E0780DA0,Rock,
TRABVMZ12903CD1EBA,Rock,Metal
TRABWAN12903CC56AE,Electronic,
TRABWCU128F933EC61,Rock,
TRABWJX128F425A2AE,Metal,Rock
TRABWMY128F424AC18,Electronic,
TRABXHU128F147EDE9,RnB,
TRABXNM128F92F8F7F,Rock,Metal
TRABXRX128F425C752,Folk,
TRABYAR128F931B1A4,Blues,
TRABYVN128F429E5CF,Rap,
TRABZAR128F42989E0,Rock,
TRABZDM128F92FE791,Country,
TRABZFP12903D0945A,Electronic,Rock
TRABZJE128F4259835,Rock,
TRABZKL128F931C0CE,Rock,
TRABZQR12903CCBE06,RnB,
TRABZRZ128F42628AD,Rock,Blues
TRACADL128F932F7A2,Rock,
TRACAOL128E07921C4,Rock,
TRACAXP128F14A2127,Rock,
TRACBEH128F4299C5C,Electronic,
TRACBJL128F426A7CD,Pop,
TRACBNP128F4278243,RnB,Pop
TRACBOR128F422CFE4,Rock,Punk
TRACBWP128C7196948,Rock,
TRACBYL12903CFDBC6,Country,
TRACBZQ128F425A848,Rock,Blues
TRACCDH12903CE8271,Rock,
TRACCDW128F4253086,Rock,Rap
TRACCIG128F931CF87,Electronic,
TRACCJA128F149A144,Jazz,
TRACCTE12903CDF524,Metal,
TRACCUS128F92E1FEB,Rock,
TRACDHL12903D0C387,Rock,
TRACDLP12903CBE918,Pop,
TRACDZX128F42967DC,Rap,
TRACECN128F9310E97,Rock,
TRACEDP128F145F7BB,RnB,
TRACEHO128F1488CEA,Rock,
TRACEJI128E0798842,Rock,
TRACEKN128F145E8BB,RnB,
TRACEWM128F931E7C8,Rock,
TRACFAP128E07862C1,Rap,
TRACFBO128F426554D,Electronic,
TRACFFK12903CF38FE,Metal,
TRACFGY128EF34E31F,Country,
TRACFJZ128F422BC5C,Pop,Rock
TRACFYQ128E0784150,Rap,
TRACFZI128E0795424,Rock,
TRACGAQ128F4280C47,Blues,
TRACGBE128F42A012F,Electronic,
TRACGSV128F14529E4,RnB,
TRACGUQ128F932A4CB,Rock,Pop
TRACHHH128E0788A35,Rap,
TRACHRV128F4214FB6,Rock,
TRACHTD12903CF5E22,Electronic,Metal
TRACIKS12903D011B3,Rock,
TRACJKL128F424C069,Electronic,Rock
TRACJOD128F931D69F,Pop,Rock
TRACJRM12903C9595A,Rock,
TRACJWL128F92FB60E,Latin,
TRACKAP128F425B741,Pop,
TRACKKU128F92FDFA8,Pop,
TRACKRZ128F14934AA,Reggae,
TRACKXH128F9301851,Rock,
TRACLBE128F1485B63,Rock,
TRACLQI128F92F8149,Rock,
TRACLWY128F145F848,Rock,
TRACMMC128F92FA031,Rock,Electronic
TRACMVQ128F93069A8,Pop,
TRACNBK128F935014F,Rock,
TRACOHQ128F424C5EF,Metal,
